model_type,table,regression,set_id,reasoning_combo,variant,threshold_tuning,dataset_size,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
logistic,Table 2,LLM Engineered + Reasoning,set_09,A+B+E,,oof,4400,0.2690856773640439,0.035298200953585344,0.7040022940074906,0.04289338027143834,0.20913867661097857,0.0393149149681109,0.29009859495213886,0.03949768089290003,0.20962025316455696,0.028570604515779013,0.8825,0.006207500128976218
logistic,Table 2,LLM Engineered Only,set_10,,,oof,4400,0.2355406859352577,0.0636083065568448,0.669793319194559,0.035125140118652885,0.19176670963214287,0.033435952219442976,0.2603844592704101,0.0670399306129205,0.17155063291139241,0.05330906370433801,0.8825000000000001,0.0057764841032449206
logistic,Table 2,LLM Engineered + Reasoning,set_10,A,,oof,4400,0.278354563779461,0.07988039744734096,0.6983943704911977,0.04330212451732754,0.2277783206789088,0.05450655597106074,0.3025428198831937,0.08543923899438997,0.21199367088607596,0.06519912064191333,0.8856818181818182,0.009192612916434863
logistic,Table 2,LLM Engineered + Reasoning,set_10,B,,oof,4400,0.2288374221738047,0.06509372906385812,0.6652244401035494,0.036154575063690346,0.19036104494347827,0.03392399493254571,0.2547410546139359,0.07124179784459363,0.1639240506329114,0.05143354342762037,0.8813636363636362,0.00963164550018957
logistic,Table 2,LLM Engineered + Reasoning,set_10,E,,oof,4400,0.23512080562986615,0.049803326909679604,0.678949619838335,0.042781038980137895,0.19525788424488094,0.036129343898224524,0.24787255498497976,0.057931685685405014,0.19693037974683542,0.029218921837851033,0.8722727272727273,0.01229375303299865
logistic,Table 2,LLM Engineered + Reasoning,set_10,A+B,,oof,4400,0.2744634379329235,0.07260197280948615,0.6957628695686957,0.03688548903800935,0.2232116818845719,0.04828806217646933,0.30472331154684096,0.07927877056019875,0.19689873417721518,0.0543450906705213,0.8877272727272727,0.007983712759204677
logistic,Table 2,LLM Engineered + Reasoning,set_10,A+E,,oof,4400,0.2852692062370033,0.09767814216384149,0.7122922717005247,0.04066050180393899,0.24085962177293402,0.05518342418153429,0.3411267568781534,0.11100358270315426,0.17424050632911392,0.06857781127541933,0.8963636363636363,0.008576346483687818
logistic,Table 2,LLM Engineered + Reasoning,set_10,B+E,,oof,4400,0.22755639409867326,0.046218734132210004,0.6707156467785522,0.040359639230428984,0.1913307019130448,0.033799519715256056,0.22988964312305155,0.04866250577014023,0.21962025316455694,0.03837343390183321,0.8627272727272727,0.01093273951891427
logistic,Table 2,LLM Engineered + Reasoning,set_10,A+B+E,,oof,4400,0.2749330397011698,0.09437776931160928,0.7051876142262834,0.03874127928038019,0.23305794386509032,0.05130731004417982,0.3346482974389951,0.1118581273561641,0.16158227848101264,0.06054934650052603,0.8961363636363636,0.008731533051044802
logistic,Table HQ,HQ Only,,,,oof,4400,0.22158649446097978,0.03909120267944706,0.6595654726489041,0.022123230349584595,0.18388167087409366,0.01823808728609705,0.2069169148145476,0.03751994364198486,0.31066455696202533,0.04674508046488576,0.8295454545454545,0.01592531640123168
