model_type,table,regression,set_id,reasoning_combo,variant,threshold_tuning,dataset_size,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
logistic,Table 2,LLM Engineered + Reasoning,set_04,B+E,,train,4400,0.21778997696886854,0.05378531468364413,0.6469242475781856,0.01843053112691483,0.1738515224496195,0.020395829580297013,0.22674608377510674,0.035639966930230596,0.2143987341772152,0.08934200619788492,0.8668181818181818,0.015437825179765148
logistic,Table 2,LLM Engineered + Reasoning,set_04,A+B+E,,train,4400,0.2375637598025515,0.01738173014705703,0.6981797655521579,0.020977496994421613,0.20272196720472616,0.018544478086659676,0.2689513777436199,0.025454177727791565,0.17177215189873415,0.04726047307564833,0.8825,0.010528395292636798
logistic,Table 2,LLM Engineered Only,set_05,,,train,4400,0.22924497439976496,0.030571121033449205,0.6655329697401587,0.03161778088680237,0.18515628136989465,0.021165488945050315,0.22282918657091538,0.028845885780259112,0.2700949367088607,0.06956916998177579,0.8497727272727273,0.013924976074582167
logistic,Table 2,LLM Engineered + Reasoning,set_05,A,,train,4400,0.23550470322458117,0.061540511306449275,0.7033146460022281,0.02586908054557104,0.218352353191945,0.03234528754938754,0.2521409518122157,0.05090056013243135,0.20436708860759495,0.09157254591239354,0.8768181818181817,0.009107938595233582
logistic,Table 2,LLM Engineered + Reasoning,set_05,B,,train,4400,0.2141876260766767,0.03359300512291442,0.6654103378243572,0.03877917608978634,0.18691835513994945,0.029331942041438425,0.21550943492452063,0.029950710888280926,0.2249367088607595,0.07814505470846227,0.8572727272727274,0.013590833079750946
logistic,Table 2,LLM Engineered + Reasoning,set_05,E,,train,4400,0.23565451432143095,0.03240908097440148,0.6787887126604009,0.04249975575499318,0.19172309045284544,0.029787006638864157,0.2322469957661731,0.03328719590874866,0.26012658227848107,0.05475323735160042,0.8545454545454547,0.01890603122098673
logistic,Table 2,LLM Engineered + Reasoning,set_05,A+B,,train,4400,0.2551100209358843,0.058779828715099916,0.69980129923138,0.02424292053783669,0.21608656165958173,0.02919385605343799,0.26520972784680774,0.053560134705491626,0.23481012658227848,0.08852618321471323,0.8745454545454546,0.010255012884253165
logistic,Table 2,LLM Engineered + Reasoning,set_05,A+E,,train,4400,0.2750595789977678,0.05661958484512508,0.7171631260963354,0.032354551351223206,0.22337181747311133,0.03250492159108036,0.31033948738757017,0.04855200620490103,0.1943354430379747,0.058703376090005976,0.89,0.003692744729380007
logistic,Table 2,LLM Engineered + Reasoning,set_05,B+E,,train,4400,0.22541619361131032,0.03339617164691739,0.66919656380375,0.040048392179429994,0.1867064263358739,0.030538739953019728,0.2245441119933529,0.03354536761100288,0.22977848101265824,0.03510924421006186,0.859090909090909,0.007740630166330216
logistic,Table 2,LLM Engineered + Reasoning,set_05,A+B+E,,train,4400,0.24890815501651256,0.05588616351916607,0.7101464409598761,0.02980933406960438,0.21823595866231044,0.032028736058347836,0.29216676307079276,0.061126037681643104,0.1590506329113924,0.045546583487953214,0.89,0.005631596224256317
