table,regression,set_id,reasoning_combo,variant,tuning,F0.5,F0.5_std,ROC-AUC,ROC-AUC_std,PR-AUC,PR-AUC_std,Prec,Prec_std,Rec,Rec_std,Acc,Acc_std
Table 2,LLM Engineered Only,set_05,,,oof,0.26066007473245656,0.06582155800738879,0.672109303318439,0.04077853741769272,0.19070242297629308,0.023031537574187057,0.2931746355568834,0.08074682819392527,0.18170886075949366,0.037388085418499514,0.885909090909091,0.00992221816042865
Table 2,LLM Engineered + Reasoning,set_05,A,,oof,0.2867497635253491,0.05450992232212655,0.7099040615271259,0.040071601517413874,0.23661417014628108,0.04355654421726912,0.29259064258678685,0.06238783228534391,0.2701582278481013,0.042493248565979434,0.8738636363636363,0.01315436011680706
Table 2,LLM Engineered + Reasoning,set_05,B,,oof,0.25376435042605855,0.05793990901049131,0.6668596955299151,0.03843972636531885,0.18795536905786317,0.02477734509433782,0.2826389213623256,0.07142209530030766,0.1817088607594937,0.03183261179750013,0.8836363636363636,0.010102777623133101
Table 2,LLM Engineered + Reasoning,set_05,E,,oof,0.23637934566564284,0.022944266964635033,0.6762960247228543,0.038580121293158055,0.19218349050825814,0.024931528830050335,0.22444349864850738,0.02563113624409414,0.3055696202531646,0.02714415220998524,0.8409090909090908,0.015195013318587964
Table 2,LLM Engineered + Reasoning,set_05,A+B,,oof,0.2832013045408761,0.06074553346649565,0.7069751273131687,0.03754744207358178,0.23286104085307224,0.0397074879538913,0.28984069558705305,0.06815109967898794,0.2625632911392405,0.04443060514205874,0.874090909090909,0.013606026860996163
Table 2,LLM Engineered + Reasoning,set_05,A+E,,oof,0.27956674401529125,0.06867713765168922,0.7142021949916245,0.03743901616373665,0.23716851263806923,0.03805944199340405,0.3556982572162838,0.08009276366830136,0.1514873417721519,0.04299928454519696,0.8995454545454546,0.004635472285084338
Table 2,LLM Engineered + Reasoning,set_05,B+E,,oof,0.2406637288838714,0.05590255892230881,0.6727212010748036,0.03548282651150028,0.189622106490426,0.02421373279150335,0.31253617401624995,0.07743449496590814,0.1262025316455696,0.028540303966298322,0.8961363636363636,0.0053590118738870715
Table 2,LLM Engineered + Reasoning,set_05,A+B+E,,oof,0.2849202498107651,0.06552017118748528,0.7125240032238184,0.03593362365293014,0.233378833324123,0.036428826789821706,0.31352368237766504,0.07222314819793513,0.20949367088607596,0.049851566246873966,0.8877272727272727,0.007720585341574076
Table 2,LLM Engineered Only,set_06,,,oof,0.21684780846490562,0.007074585244617039,0.6767759206006339,0.02421562823999418,0.17561905578541923,0.02070407820818915,0.19810863890755095,0.00653100706792153,0.35098101265822784,0.028884691942570696,0.8136363636363637,0.008654287620299891
Table 2,LLM Engineered + Reasoning,set_06,A,,oof,0.2558130402034128,0.03934342092183978,0.7111121658399707,0.03524668972306751,0.21317189418156035,0.0372150257662539,0.247372143240149,0.03781219149331983,0.29803797468354426,0.05314662144722472,0.8552272727272726,0.008907235428302473
Table 2,LLM Engineered + Reasoning,set_06,B,,oof,0.2121759630222641,0.0064439334440356075,0.6708762899964839,0.020728298363940263,0.17274180038159098,0.019395975238607532,0.19529071334345166,0.0061466021246597445,0.32579113924050634,0.02219931633834884,0.8184090909090911,0.007092948424694198
Table 2,LLM Engineered + Reasoning,set_06,E,,oof,0.2338816408332917,0.023199136048315118,0.6797117713074241,0.0342828874007398,0.17952791373691734,0.025814235324438196,0.23149281518462472,0.021696345347853925,0.24500000000000002,0.03294569779750984,0.8590909090909091,0.004488276740484442
